,USPS,GEOID,ANSICODE,NAME,LSAD,FUNCSTAT,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,latitude,longitude,NAME_LOWER,fips,identifier
0,AL,100100,2582661,Abanda,57,S,7764034,34284,2.998,0.013,33.091627,-85.527029,abanda,01,abanda-01
1,AL,100124,2403054,Abbeville,25,A,40255362,107642,15.543,0.042,31.564689,-85.259124,abbeville,01,abbeville-01
2,AL,100460,2403063,Adamsville,25,A,65193211,14122,25.171,0.005,33.605748,-86.974649,adamsville,01,adamsville-01
3,AL,100484,2405123,Addison,43,A,9753293,83417,3.766,0.032,34.202681,-87.178004,addison,01,addison-01
4,AL,100676,2405125,Akron,43,A,1776163,13849,0.686,0.005,32.879495,-87.741679,akron,01,akron-01
5,AL,100820,2403069,Alabaster,25,A,65371801,806152,25.24,0.311,33.226936,-86.761015,alabaster,01,alabaster-01
6,AL,100988,2403074,Albertville,25,A,69358644,258708,26.78,0.1,34.26313,-86.21066,albertville,01,albertville-01
7,AL,101132,2403077,Alexander City,25,A,108771403,729970,41.997,0.282,32.92724,-85.937122,alexander city,01,alexander city-01
8,AL,101180,2402638,Alexandria,57,S,28834976,33099,11.133,0.013,33.760819,-85.872008,alexandria,01,alexandria-01
9,AL,101228,2403080,Aliceville,25,A,11819855,0,4.564,0.0,33.123686,-88.159364,aliceville,01,aliceville-01
10,AL,101396,2405136,Allgood,43,A,2690288,1452,1.039,0.001,33.907623,-86.516109,allgood,01,allgood-01
11,AL,101660,2405146,Altoona,43,A,11193369,25442,4.322,0.01,34.040014,-86.305179,altoona,01,altoona-01
12,AL,101708,2403097,Andalusia,25,A,50911855,405912,19.657,0.157,31.309436,-86.478031,andalusia,01,andalusia-01
13,AL,101756,2405149,Anderson,43,A,3347216,1520,1.292,0.001,34.915675,-87.274274,anderson,01,anderson-01
14,AL,101852,2403101,Anniston,25,A,118091474,179313,45.595,0.069,33.673435,-85.810937,anniston,01,anniston-01
15,AL,102116,2403104,Arab,25,A,34511834,343242,13.325,0.133,34.332387,-86.501167,arab,01,arab-01
16,AL,102260,2405163,Ardmore,43,A,5289895,21830,2.042,0.008,34.987838,-86.829022,ardmore,01,ardmore-01
17,AL,102320,2405164,Argo,43,A,27841536,147821,10.75,0.057,33.691576,-86.503766,argo,01,argo-01
18,AL,102428,2405166,Ariton,43,A,13182489,0,5.09,0.0,31.597772,-85.713061,ariton,01,ariton-01
19,AL,102500,2405167,Arley,43,A,9740655,33989,3.761,0.013,34.076234,-87.217831,arley,01,arley-01
20,AL,102836,2405172,Ashford,43,A,16064130,56699,6.202,0.022,31.185284,-85.236236,ashford,01,ashford-01
21,AL,102860,2405173,Ashland,43,A,18986275,85046,7.331,0.033,33.269892,-85.833706,ashland,01,ashland-01
22,AL,102908,2403122,Ashville,25,A,49762931,487105,19.214,0.188,33.835197,-86.270015,ashville,01,ashville-01
23,AL,102956,2403123,Athens,25,A,103236667,665558,39.86,0.257,34.779021,-86.950799,athens,01,athens-01
24,AL,103004,2403129,Atmore,25,A,56622749,194035,21.862,0.075,31.124067,-87.457798,atmore,01,atmore-01
25,AL,103028,2403130,Attalla,25,A,18079282,0,6.98,0.0,33.986189,-86.121037,attalla,01,attalla-01
26,AL,103076,2403132,Auburn,25,A,155748728,2638308,60.135,1.019,32.607722,-85.489545,auburn,01,auburn-01
27,AL,103220,2405187,Autaugaville,43,A,20286746,530328,7.833,0.205,32.432563,-86.658752,autaugaville,01,autaugaville-01
28,AL,103364,2405191,Avon,43,A,6687793,53694,2.582,0.021,31.179727,-85.279211,avon,01,avon-01
29,AL,103508,2628577,Axis,57,S,10099851,28960,3.9,0.011,30.922021,-88.022897,axis,01,axis-01
30,AL,103556,2405195,Babbie,43,A,29709390,302262,11.471,0.117,31.302083,-86.319437,babbie,01,babbie-01
31,AL,103676,2405198,Baileyton,43,A,13611429,155195,5.255,0.06,34.260858,-86.608788,baileyton,01,baileyton-01
32,AL,103724,2405200,Bakerhill,43,A,7126271,0,2.751,0.0,31.776923,-85.295408,bakerhill,01,bakerhill-01
33,AL,103820,2582662,Ballplay,57,S,60996781,485209,23.551,0.187,34.023046,-85.801481,ballplay,01,ballplay-01
34,AL,103940,2405206,Banks,43,A,5145554,0,1.987,0.0,31.813264,-85.836434,banks,01,banks-01
35,AL,104660,2403825,Bay Minette,25,A,44684969,202288,17.253,0.078,30.894436,-87.791306,bay minette,01,bay minette-01
36,AL,104684,2403828,Bayou La Batre,25,A,19475779,369464,7.52,0.143,30.407586,-88.263271,bayou la batre,01,bayou la batre-01
37,AL,104852,2405219,Bear Creek,43,A,35295458,345560,13.628,0.133,34.255481,-87.713399,bear creek,01,bear creek-01
38,AL,104900,2405221,Beatrice,43,A,3503547,0,1.353,0.0,31.733309,-87.209046,beatrice,01,beatrice-01
39,AL,104948,2405225,Beaverton,43,A,11882782,0,4.588,0.0,33.935411,-88.021778,beaverton,01,beaverton-01
40,AL,105140,2628578,Belgreen,57,S,3180831,15104,1.228,0.006,34.47454,-87.861678,belgreen,01,belgreen-01
41,AL,105164,2405230,Belk,43,A,3588962,0,1.386,0.0,33.651647,-87.928609,belk,01,belk-01
42,AL,105188,2628579,Bellamy,57,S,9780480,108299,3.776,0.042,32.463658,-88.131481,bellamy,01,bellamy-01
43,AL,105212,2632282,Belle Fontaine,57,S,4022920,939300,1.553,0.363,30.489492,-88.10594,belle fontaine,01,belle fontaine-01
44,AL,105692,2405243,Benton,43,A,781978,89459,0.302,0.035,32.307931,-86.817546,benton,01,benton-01
45,AL,105932,2405250,Berry,43,A,27884733,15029,10.766,0.006,33.666702,-87.609311,berry,01,berry-01
46,AL,105980,2403864,Bessemer,25,A,104998110,429098,40.54,0.166,33.370789,-86.971568,bessemer,01,bessemer-01
47,AL,106460,2405265,Billingsley,43,A,3041964,3909,1.175,0.002,32.664751,-86.70667,billingsley,01,billingsley-01
48,AL,107000,2403868,Birmingham,25,A,378318045,6593183,146.069,2.546,33.527444,-86.799047,birmingham,01,birmingham-01
49,AL,107120,2405270,Black,43,A,7980188,0,3.081,0.0,31.010249,-85.742791,black,01,black-01
50,AL,107456,2405280,Blountsville,43,A,14039366,179778,5.421,0.069,34.075838,-86.583918,blountsville,01,blountsville-01
51,AL,107588,2402696,Blue Ridge,57,S,20093252,229633,7.758,0.089,32.4989,-86.182436,blue ridge,01,blue ridge-01
52,AL,107672,2405286,Blue Springs,43,A,7500883,0,2.896,0.0,31.663516,-85.503526,blue springs,01,blue springs-01
53,AL,107912,2403886,Boaz,25,A,37683448,161880,14.55,0.063,34.19902,-86.155151,boaz,01,boaz-01
54,AL,108104,2405297,Boligee,43,A,10231296,36323,3.95,0.014,32.7681,-88.028579,boligee,01,boligee-01
55,AL,108248,2405301,Bon Air,43,A,3436489,15386,1.327,0.006,33.25937,-86.327148,bon air,01,bon air-01
56,AL,108272,2633314,Bon Secour,57,S,11190210,859584,4.321,0.332,30.318246,-87.72439,bon secour,01,bon secour-01
57,AL,108680,2628580,Boykin,57,S,6888209,30520,2.66,0.012,32.068375,-87.294343,boykin,01,boykin-01
58,AL,109016,2405315,Brantley,43,A,8047471,130826,3.107,0.051,31.581992,-86.256784,brantley,01,brantley-01
59,AL,109064,2582663,Brantleyville,57,S,5687772,26749,2.196,0.01,33.219303,-86.882522,brantleyville,01,brantleyville-01
60,AL,109136,2403918,Brent,25,A,22739426,77911,8.78,0.03,32.944893,-87.172088,brent,01,brent-01
61,AL,109208,2403921,Brewton,25,A,29057344,604882,11.219,0.234,31.109175,-87.076583,brewton,01,brewton-01
62,AL,109328,2403924,Bridgeport,25,A,11210021,334212,4.328,0.129,34.949312,-85.723765,bridgeport,01,bridgeport-01
63,AL,109400,2403925,Brighton,25,A,3664884,0,1.415,0.0,33.439252,-86.945384,brighton,01,brighton-01
64,AL,109424,2405321,Brilliant,43,A,27634735,0,10.67,0.0,34.025434,-87.769116,brilliant,01,brilliant-01
65,AL,109457,2582664,Bristow Cove,57,S,28083738,0,10.843,0.0,34.109216,-86.240993,bristow cove,01,bristow cove-01
66,AL,109500,2403203,Brook Highland,57,S,7267731,125105,2.806,0.048,33.438086,-86.685291,brook highland,01,brook highland-01
67,AL,109736,2405331,Brookside,43,A,16582315,27676,6.402,0.011,33.636966,-86.89608,brookside,01,brookside-01
68,AL,109808,2405333,Brookwood,43,A,21677044,236620,8.37,0.091,33.239844,-87.331494,brookwood,01,brookwood-01
69,AL,109880,2582666,Broomtown,57,S,12156602,0,4.694,0.0,34.365728,-85.532112,broomtown,01,broomtown-01
70,AL,110240,2403943,Brundidge,25,A,25241183,83770,9.746,0.032,31.717639,-85.81755,brundidge,01,brundidge-01
71,AL,110456,2628581,Bucks,57,S,1003273,92976,0.387,0.036,31.016881,-88.026385,bucks,01,bucks-01
72,AL,111032,2405351,Butler,43,A,17484927,0,6.751,0.0,32.096479,-88.210781,butler,01,butler-01
73,AL,111416,2403965,Calera,25,A,62602939,685511,24.171,0.265,33.122319,-86.745644,calera,01,calera-01
74,AL,111488,2628582,Calvert,57,S,6056150,48801,2.338,0.019,31.149898,-88.021549,calvert,01,calvert-01
75,AL,111512,2403975,Camden,25,A,10836796,34892,4.184,0.013,31.998493,-87.28895,camden,01,camden-01
76,AL,111680,2405370,Camp Hill,43,A,23283989,256573,8.99,0.099,32.797327,-85.655833,camp hill,01,camp hill-01
77,AL,112016,2403992,Carbon Hill,25,A,14245472,221465,5.5,0.086,33.894991,-87.522078,carbon hill,01,carbon hill-01
78,AL,112040,2405377,Cardiff,43,A,649165,0,0.251,0.0,33.647188,-86.930557,cardiff,01,cardiff-01
79,AL,112070,2582667,Carlisle-Rockledge,57,S,41929034,12741,16.189,0.005,34.114451,-86.124073,carlisle-rockledge,01,carlisle-rockledge-01
80,AL,112112,2628583,Carlton,57,S,11706473,12193,4.52,0.005,31.348571,-87.835666,carlton,01,carlton-01
81,AL,112160,2405380,Carolina,43,A,2871453,20504,1.109,0.008,31.23415,-86.521001,carolina,01,carolina-01
82,AL,112304,2405384,Carrollton,43,A,5331435,59271,2.058,0.023,33.261903,-88.095071,carrollton,01,carrollton-01
83,AL,112496,2406236,Castleberry,43,A,4431204,48957,1.711,0.019,31.299678,-87.029129,castleberry,01,castleberry-01
84,AL,112544,2628584,Catherine,57,S,5944734,0,2.295,0.0,32.18617,-87.469978,catherine,01,catherine-01
85,AL,112760,2406240,Cedar Bluff,43,A,12633435,37623,4.878,0.015,34.222378,-85.57906,cedar bluff,01,cedar bluff-01
